Type,Group,Amount,Fish,Taxa
"Water,",Water,73.37,European anchovy,Small pelagics
"Energy,",Energy,131,European anchovy,Small pelagics
Protein (N x 6.25),Protein,20.35,European anchovy,Small pelagics
Total lipid (fat),Fat,4.84,European anchovy,Small pelagics
"Tryptophan,",Amino acids,0.23,European anchovy,Small pelagics
"Threonine,",Amino acids,0.89,European anchovy,Small pelagics
"Isoleucine,",Amino acids,0.94,European anchovy,Small pelagics
"Leucine,",Amino acids,1.65,European anchovy,Small pelagics
"Lysine,",Amino acids,1.87,European anchovy,Small pelagics
"Methionine,",Amino acids,0.6,European anchovy,Small pelagics
"Cystine,",Amino acids,0.22,European anchovy,Small pelagics
"Phenylalanine,",Amino acids,0.79,European anchovy,Small pelagics
"Tyrosine,",Amino acids,0.69,European anchovy,Small pelagics
"Valine,",Amino acids,1.05,European anchovy,Small pelagics
"Arginine,",Amino acids,1.22,European anchovy,Small pelagics
"Histidine,",Amino acids,0.6,European anchovy,Small pelagics
"Alanine,",Amino acids,1.23,European anchovy,Small pelagics
Aspartic,Amino acids,2.08,European anchovy,Small pelagics
Glutamic,Amino acids,3.04,European anchovy,Small pelagics
"Glycine,",Amino acids,0.98,European anchovy,Small pelagics
"Proline,",Amino acids,0.72,European anchovy,Small pelagics
"Serine,",Amino acids,0.83,European anchovy,Small pelagics
Total amino acids,Amino acids,19.63,European anchovy,Small pelagics
Saturated,Lipids,1.28,European anchovy,Small pelagics
Monounsaturated,Lipids,1.18,European anchovy,Small pelagics
Polyunsaturated,Lipids,1.64,European anchovy,Small pelagics
"(EPA),",Lipids,538,European anchovy,Small pelagics
"(DHA),",Lipids,911,European anchovy,Small pelagics
Cholesterol,Lipids,60,European anchovy,Small pelagics
Calcium,Minerals,147,European anchovy,Small pelagics
Iron,Minerals,3.25,European anchovy,Small pelagics
Magnesium,Minerals,32,European anchovy,Small pelagics
Phosphorus,Minerals,174,European anchovy,Small pelagics
Potassium,Minerals,383,European anchovy,Small pelagics
Sodium,Minerals,104,European anchovy,Small pelagics
Zinc,Minerals,1.72,European anchovy,Small pelagics
Copper,Minerals,0.21,European anchovy,Small pelagics
Manganese,Minerals,0.07,European anchovy,Small pelagics
Selenium,Minerals,36.5,European anchovy,Small pelagics
Vitamins,Minerals,,European anchovy,Small pelagics
Vitamin C,Minerals,0,European anchovy,Small pelagics
"Thiamin,",Minerals,0.06,European anchovy,Small pelagics
"Riboflavin,",Minerals,0.26,European anchovy,Small pelagics
"Niacin,",Minerals,14.02,European anchovy,Small pelagics
Pantothenic,Minerals,0.65,European anchovy,Small pelagics
Vitamin B6,Minerals,0.14,European anchovy,Small pelagics
"Folate,",Minerals,9,European anchovy,Small pelagics
"Choline,",Minerals,NA,European anchovy,Small pelagics
Vitamin B12,Minerals,0.62,European anchovy,Small pelagics
Vitamin A,Minerals,50,European anchovy,Small pelagics
Vitamin E,Minerals,0.57,European anchovy,Small pelagics
Vitamin D,Minerals,NA,European anchovy,Small pelagics
Vitamin K,Minerals,0.1,European anchovy,Small pelagics
"Water,",Water,72.05,Atlantic herring,Small pelagics
"Energy,",Energy,158,Atlantic herring,Small pelagics
Protein (N x 6.25),Protein,17.96,Atlantic herring,Small pelagics
Total lipid (fat),Fat,9.04,Atlantic herring,Small pelagics
"Tryptophan,",Amino acids,0.201,Atlantic herring,Small pelagics
"Threonine,",Amino acids,0.787,Atlantic herring,Small pelagics
"Isoleucine,",Amino acids,0.828,Atlantic herring,Small pelagics
"Leucine,",Amino acids,1.46,Atlantic herring,Small pelagics
"Lysine,",Amino acids,1.65,Atlantic herring,Small pelagics
"Methionine,",Amino acids,0.532,Atlantic herring,Small pelagics
"Cystine,",Amino acids,0.193,Atlantic herring,Small pelagics
"Phenylalanine,",Amino acids,0.701,Atlantic herring,Small pelagics
"Tyrosine,",Amino acids,0.606,Atlantic herring,Small pelagics
"Valine,",Amino acids,0.925,Atlantic herring,Small pelagics
"Arginine,",Amino acids,1.075,Atlantic herring,Small pelagics
"Histidine,",Amino acids,0.529,Atlantic herring,Small pelagics
"Alanine,",Amino acids,1.086,Atlantic herring,Small pelagics
Aspartic,Amino acids,1.839,Atlantic herring,Small pelagics
Glutamic,Amino acids,2.681,Atlantic herring,Small pelagics
"Glycine,",Amino acids,0.862,Atlantic herring,Small pelagics
"Proline,",Amino acids,0.635,Atlantic herring,Small pelagics
"Serine,",Amino acids,0.733,Atlantic herring,Small pelagics
Total amino acids,Amino acids,17.32,Atlantic herring,Small pelagics
Saturated,Lipids,2.04,Atlantic herring,Small pelagics
Monounsaturated,Lipids,3.736,Atlantic herring,Small pelagics
Polyunsaturated,Lipids,2.133,Atlantic herring,Small pelagics
"(EPA),",Lipids,709,Atlantic herring,Small pelagics
"(DHA),",Lipids,862,Atlantic herring,Small pelagics
Cholesterol,Lipids,60,Atlantic herring,Small pelagics
Calcium,Minerals,57,Atlantic herring,Small pelagics
Iron,Minerals,1.1,Atlantic herring,Small pelagics
Magnesium,Minerals,32,Atlantic herring,Small pelagics
Phosphorus,Minerals,236,Atlantic herring,Small pelagics
Potassium,Minerals,327,Atlantic herring,Small pelagics
Sodium,Minerals,90,Atlantic herring,Small pelagics
Zinc,Minerals,0.99,Atlantic herring,Small pelagics
